
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,12,14,12,7,12,12,6,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,7,7,7,7,7,7,7,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,26,28,26,14,26,26,13,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,324,394,324,131,325,324,108,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,62,74,62,37,62,62,31,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,13,13,13,13,13,13,13,1,1,207,207,207,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,67,68,67,34,67,67,33,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,43,57,43,19,44,43,14,3,2,471,207,157,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java,178,184,178,61,179,178,59,3,2,471,207,157,No
4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,444,444,444,444,444,444,444,1,1,207,207,207,No
4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,48,48,48,48,48,48,48,1,1,207,207,207,No
4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,120,120,120,120,120,120,120,1,1,207,207,207,No
4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,345,345,345,345,345,345,345,1,1,207,207,207,No
4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,82,82,82,82,82,82,82,1,1,207,207,207,No
