DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,12,93.10314493072356,IBk,true,true,false,0.4731182795698925,0.6263345195729537,0.7946021949580668,0.4207844484806834,176.0,196.0,1091.0,105.0,0.5160142348754448,1246
STORM,12,93.10314493072356,IBk,true,false,true,0.8,0.0711743772241993,0.6420625637707488,0.10449632641844056,20.0,5.0,1282.0,261.0,0.47330960854092524,2615
STORM,13,87.97353248461866,RandomForest,false,false,false,0.14759036144578314,0.23902439024390243,0.6645614713122674,0.1099006051370102,49.0,283.0,2620.0,156.0,0.553921568627451,1843
STORM,13,87.97353248461866,RandomForest,true,false,false,0.2,0.21951219512195122,0.6883913193248363,0.15067634364526292,45.0,180.0,2723.0,160.0,0.5931372549019608,1780
STORM,13,87.97353248461866,RandomForest,true,true,false,0.12367491166077739,0.6829268292682927,0.7068717810843282,0.11002157519513578,140.0,992.0,1911.0,65.0,0.5219512195121951,1642
STORM,13,87.97353248461866,RandomForest,true,false,true,1.0,0.00975609756097561,0.67474521731094,0.01807213914862367,2.0,0.0,2903.0,203.0,0.5658536585365853,2030
STORM,13,87.97353248461866,NaiveBayes,false,false,false,0.25,0.01951219512195122,0.6302630584004772,0.02690546046790505,4.0,12.0,2891.0,201.0,0.16585365853658537,2022
STORM,13,87.97353248461866,NaiveBayes,true,false,false,0.38461538461538464,0.024390243902439025,0.6208783176360871,0.03830625366326735,5.0,8.0,2895.0,200.0,0.4926829268292683,2008
STORM,13,87.97353248461866,NaiveBayes,true,true,false,0.14563106796116504,0.07317073170731707,0.6247078295791569,0.0557465624228167,15.0,88.0,2815.0,190.0,0.47804878048780486,1988
STORM,13,87.97353248461866,NaiveBayes,true,false,true,0.5,0.014634146341463415,0.6208783176360871,0.024777753287782273,3.0,3.0,2900.0,202.0,0.3170731707317073,2023
STORM,13,87.97353248461866,IBk,false,false,false,0.18930041152263374,0.22439024390243903,0.6059786763902775,0.14411558579590558,46.0,197.0,2706.0,159.0,0.4975609756097561,1787
STORM,13,87.97353248461866,IBk,true,false,false,0.16733067729083664,0.2048780487804878,0.5878082387437722,0.12033586489928802,42.0,209.0,2694.0,163.0,0.47317073170731705,1839
